Sylvia Henrotin,,,,Margaret Osborne
Kay Stammers,,,,Mary Lou Gates
Evelyn Dearman,,,,Jacqueline Watkins
Margot Lumb,,,,Virginia Hein
Mary Hardwick,,,,Dorothy Andrus
Marie Louise Horn,,,,Helen Drendell
Dorothy Workman,,,,Sylvia Henrotin
Anita Lizana,,,,Kay Stammers
Helen Drendell,,,,Frances Umphred
Frances Umphred,,,,Evelyn Dearman
Margaret Osborne Dupont,,,,Margot Lumb
Vera Hanlan,,,,Vera Hanlon
Dorothy Andrus,,,,Mary Hardwick
Louise Gates,,,,Marie Louise Horn
Freda James,,,,Dorothy Workman
Joan Ingram,,,,Freda James
,,,,Anita Lizana
,,,,Joan Ingram
,,,,Barbara Miller
,,,,Alice Surber
,,,,Anne Ellinwood
,,,,Florence Wilson
,,,,Gunver Lenhart
,,,,Helen Jacobs
,,,,Anne Morgan
,,,,Virginia Wolfenden
,,,,June Hansen
,,,,Rose Roesch
,,,,Juanita Werner
,,,,Jacque Virgil
,,,,Patricia Canning Todd
,,,,Gussie Raegener
,,,,Peggy Marvin
,,,,Elsie Gabel
,,,,La Verne Kapps
,,,,Jeannette Silver
,,,,Margaret Stein
,,,,Maria Mack
