player_name,player_id_agg,min_tourn_date,max_tourn_date,total_matches,player_id,flag,Aggregate
 Albini,227713,28/09/1970 00:00,28/09/1970 00:00,1,227713,FALSE,
 Alcuba,225342,01/03/1976 00:00,01/03/1976 00:00,1,225342,FALSE,
 Altrichter,228188,26/08/1968 00:00,26/08/1968 00:00,1,228188,FALSE,
 Anglin,230868,01/11/1982 00:00,01/11/1982 00:00,1,230868,FALSE,
 Au,227067,21/08/1972 00:00,21/08/1972 00:00,1,227067,FALSE,
 Austin,227640,04/05/1970 00:00,04/05/1970 00:00,3,227640,FALSE,
 Bailey,226666,13/08/1973 00:00,13/08/1973 00:00,1,226666,FALSE,
 Bandel,232448,20/01/1986 00:00,20/01/1986 00:00,1,232448,FALSE,
 Bascikova,233474,11/04/1988 00:00,11/04/1988 00:00,2,233474,FALSE,
 Becsi,227676,20/07/1970 00:00,20/07/1970 00:00,1,227676,FALSE,
 Benyamini,230308,31/08/1981 00:00,31/08/1981 00:00,1,230308,FALSE,
 Benz,224308,05/07/1976 00:00,31/01/1978 00:00,4,224308,FALSE,
 Beraud,228181,31/07/1968 00:00,31/07/1968 00:00,1,228181,FALSE,
 Berneth,228095,28/08/1969 00:00,28/08/1969 00:00,1,228095,FALSE,
 Beust,227517,15/03/1971 00:00,15/03/1971 00:00,1,227517,FALSE,
 Bianco,224330,05/04/1978 00:00,05/04/1978 00:00,3,224330,FALSE,
 Bielefeld,228037,26/05/1969 00:00,07/07/1969 00:00,2,228037,FALSE,
 Billingham,226680,20/08/1973 00:00,20/08/1973 00:00,1,226680,FALSE,
 Biondi,227621,31/03/1970 00:00,31/03/1970 00:00,1,227621,FALSE,
 Black,232033,18/11/1985 00:00,18/11/1985 00:00,1,232033,FALSE,
 Blum,225373,05/07/1976 00:00,05/07/1976 00:00,1,225373,FALSE,
 Boeck,228004,27/02/1969 00:00,27/02/1969 00:00,1,228004,FALSE,
 Boehme,223826,11/05/1970 00:00,11/05/1970 00:00,1,223826,FALSE,
 Boltzenmart,227072,21/08/1972 00:00,21/08/1972 00:00,1,227072,FALSE,
 Bortscheller,227508,30/01/1971 00:00,30/01/1971 00:00,1,227508,FALSE,
 Bosom,233478,25/04/1988 00:00,25/04/1988 00:00,1,233478,FALSE,
 Brands,229473,22/05/1980 00:00,22/05/1980 00:00,1,229473,FALSE,
 Britsch,224816,04/08/1977 00:00,04/08/1977 00:00,1,224816,FALSE,
 Bruteleux,230223,25/05/1981 00:00,25/05/1981 00:00,1,230223,FALSE,
 Bryukhanchikova,226977,20/02/1972 00:00,20/02/1972 00:00,1,226977,FALSE,
 Buche,228053,09/07/1969 00:00,28/08/1969 00:00,3,228053,FALSE,
 Buchheim,228010,31/07/1968 00:00,27/02/1969 00:00,2,228010,FALSE,
 Buerkle,226227,29/05/1974 00:00,29/05/1974 00:00,1,226227,FALSE,
 Buyukfirat,225715,24/07/1972 00:00,23/07/1973 00:00,2,225715,FALSE,
 Callaghan,230830,17/05/1982 00:00,17/05/1982 00:00,1,230830,FALSE,
 Cane,228541,20/06/1977 00:00,20/06/1977 00:00,1,228541,FALSE,
 Castellano,228096,08/09/1969 00:00,08/09/1969 00:00,1,228096,FALSE,
 Chitarin,227289,22/09/1969 00:00,22/09/1969 00:00,1,227289,FALSE,
 Ciakirova,227679,03/08/1970 00:00,03/08/1970 00:00,1,227679,FALSE,
 Cingan,231293,19/09/1983 00:00,19/09/1983 00:00,1,231293,FALSE,
 Collins,226621,05/05/1973 00:00,05/05/1973 00:00,1,226621,FALSE,
 Contarini,229451,07/05/1980 00:00,07/05/1980 00:00,1,229451,FALSE,
 Cooper,229392,31/03/1980 00:00,31/03/1980 00:00,1,229392,FALSE,
 Cornish,228118,26/02/1968 00:00,26/02/1968 00:00,1,228118,FALSE,
 Cupers,229698,10/11/1980 00:00,10/11/1980 00:00,1,229698,FALSE,
 Daksa,224815,04/08/1977 00:00,04/08/1977 00:00,1,224815,FALSE,
 Davis,225800,21/04/1975 00:00,21/04/1975 00:00,1,225800,FALSE,
 Dawson,230224,25/05/1981 00:00,25/05/1981 00:00,1,230224,FALSE,
 De Groot,229700,10/11/1980 00:00,10/11/1980 00:00,1,229700,FALSE,
 Deerbergen,230330,09/12/1981 00:00,09/12/1981 00:00,1,230330,FALSE,
 Di Lettuso,231262,07/03/1983 00:00,07/03/1983 00:00,1,231262,FALSE,
 Dieblin,229604,19/07/1980 00:00,19/07/1980 00:00,3,229604,FALSE,
 Dimitriu,223543,18/11/1974 00:00,18/11/1974 00:00,1,223543,FALSE,
 Dnebergen,231278,11/07/1983 00:00,11/07/1983 00:00,1,231278,FALSE,
 Doniger,231648,30/01/1984 00:00,30/01/1984 00:00,1,231648,FALSE,
 Doriano,231663,16/07/1984 00:00,30/07/1984 00:00,3,231663,FALSE,
 Druen,224306,31/01/1978 00:00,09/12/1981 00:00,7,224306,FALSE,
 Dupree,230327,19/10/1981 00:00,19/10/1981 00:00,1,230327,FALSE,
 Duson,227552,05/07/1971 00:00,05/07/1971 00:00,1,227552,FALSE,
 Eidenberger,228187,15/08/1968 00:00,15/08/1968 00:00,1,228187,FALSE,
 Emmonts,228111,26/01/1968 00:00,26/01/1968 00:00,1,228111,FALSE,
 Engelbrecht,228195,01/01/1968 00:00,01/01/1968 00:00,1,228195,FALSE,
 Engelmann,228006,31/07/1968 00:00,27/02/1969 00:00,2,228006,FALSE,
 Enouchi,227725,02/11/1970 00:00,02/11/1970 00:00,1,227725,FALSE,
 Epstein,229559,14/07/1980 00:00,14/07/1980 00:00,1,229559,FALSE,
 Erbe,225366,08/07/1968 00:00,05/07/1976 00:00,4,225366,FALSE,
