player_name,player_id,min_tourn_date,max_tourn_date,total_matches,Flag
 Albini,227713,28/09/1970 00:00,28/09/1970 00:00,1,0
 Alcuba,225342,01/03/1976 00:00,01/03/1976 00:00,1,0
 Altrichter,228188,26/08/1968 00:00,26/08/1968 00:00,1,0
 Anglin,230868,01/11/1982 00:00,01/11/1982 00:00,1,0
 Arnold,225361,21/06/1976 00:00,21/06/1976 00:00,1,1
 Arnold,229471,22/05/1980 00:00,22/05/1980 00:00,1,1
 Au,227067,21/08/1972 00:00,21/08/1972 00:00,1,0
 Austin,227640,04/05/1970 00:00,04/05/1970 00:00,3,0
 Bailey,226666,13/08/1973 00:00,13/08/1973 00:00,1,0
 Bandel,232448,20/01/1986 00:00,20/01/1986 00:00,1,0
 Bascikova,233474,11/04/1988 00:00,11/04/1988 00:00,2,0
 Becsi,227676,20/07/1970 00:00,20/07/1970 00:00,1,0
 Benyamini,230308,31/08/1981 00:00,31/08/1981 00:00,1,0
 Benz,224308,05/07/1976 00:00,31/01/1978 00:00,4,0
 Beraud,228181,31/07/1968 00:00,31/07/1968 00:00,1,0
 Berneth,228095,28/08/1969 00:00,28/08/1969 00:00,1,0
 Beust,227517,15/03/1971 00:00,15/03/1971 00:00,1,0
 Bianco,224330,05/04/1978 00:00,05/04/1978 00:00,3,0
 Bielefeld,228037,26/05/1969 00:00,07/07/1969 00:00,2,0
 Billingham,226680,20/08/1973 00:00,20/08/1973 00:00,1,0
 Biondi,227621,31/03/1970 00:00,31/03/1970 00:00,1,0
 Black,232033,18/11/1985 00:00,18/11/1985 00:00,1,0
 Blum,225373,05/07/1976 00:00,05/07/1976 00:00,1,0
 Boeck,228004,27/02/1969 00:00,27/02/1969 00:00,1,0
 Boehme,223826,11/05/1970 00:00,11/05/1970 00:00,1,0
 Boltzenmart,227072,21/08/1972 00:00,21/08/1972 00:00,1,0
 Bortscheller,227508,30/01/1971 00:00,30/01/1971 00:00,1,0
 Bosom,233478,25/04/1988 00:00,25/04/1988 00:00,1,0
 Brands,229473,22/05/1980 00:00,22/05/1980 00:00,1,0
 Britsch,224816,04/08/1977 00:00,04/08/1977 00:00,1,0
 Bruteleux,230223,25/05/1981 00:00,25/05/1981 00:00,1,0
 Bryukhanchikova,226977,20/02/1972 00:00,20/02/1972 00:00,1,0
 Buche,228053,09/07/1969 00:00,28/08/1969 00:00,3,0
 Buchheim,228010,31/07/1968 00:00,27/02/1969 00:00,2,0
 Buerkle,226227,29/05/1974 00:00,29/05/1974 00:00,1,0
 Buyukfirat,225715,24/07/1972 00:00,23/07/1973 00:00,2,0
 Callaghan,230830,17/05/1982 00:00,17/05/1982 00:00,1,0
 Cane,228541,20/06/1977 00:00,20/06/1977 00:00,1,0
 Castellano,228096,08/09/1969 00:00,08/09/1969 00:00,1,0
 Chitarin,227289,22/09/1969 00:00,22/09/1969 00:00,1,0
 Ciakirova,227679,03/08/1970 00:00,03/08/1970 00:00,1,0
