player_name,player_id,min_tourn_date,max_tourn_date,total_matches
 Albini,227713,1970-09-28 00:00:00,1970-09-28 00:00:00,1
 Alcuba,225342,1976-03-01 00:00:00,1976-03-01 00:00:00,1
 Altrichter,228188,1968-08-26 00:00:00,1968-08-26 00:00:00,1
 Anglin,230868,1982-11-01 00:00:00,1982-11-01 00:00:00,1
 Arnold,225361,1976-06-21 00:00:00,1976-06-21 00:00:00,1
 Arnold,229471,1980-05-22 00:00:00,1980-05-22 00:00:00,1
 Au,227067,1972-08-21 00:00:00,1972-08-21 00:00:00,1
 Austin,227640,1970-05-04 00:00:00,1970-05-04 00:00:00,3
 Bailey,226666,1973-08-13 00:00:00,1973-08-13 00:00:00,1
 Bandel,232448,1986-01-20 00:00:00,1986-01-20 00:00:00,1
 Bascikova,233474,1988-04-11 00:00:00,1988-04-11 00:00:00,2
 Becsi,227676,1970-07-20 00:00:00,1970-07-20 00:00:00,1
 Benyamini,230308,1981-08-31 00:00:00,1981-08-31 00:00:00,1
 Benz,224308,1976-07-05 00:00:00,1978-01-31 00:00:00,4
 Beraud,228181,1968-07-31 00:00:00,1968-07-31 00:00:00,1
 Berneth,228095,1969-08-28 00:00:00,1969-08-28 00:00:00,1
 Beust,227517,1971-03-15 00:00:00,1971-03-15 00:00:00,1
 Bianco,224330,1978-04-05 00:00:00,1978-04-05 00:00:00,3
 Bielefeld,228037,1969-05-26 00:00:00,1969-07-07 00:00:00,2
 Billingham,226680,1973-08-20 00:00:00,1973-08-20 00:00:00,1
 Biondi,227621,1970-03-31 00:00:00,1970-03-31 00:00:00,1
 Black,232033,1985-11-18 00:00:00,1985-11-18 00:00:00,1
 Blum,225373,1976-07-05 00:00:00,1976-07-05 00:00:00,1
 Boeck,228004,1969-02-27 00:00:00,1969-02-27 00:00:00,1
 Boehme,223826,1970-05-11 00:00:00,1970-05-11 00:00:00,1
 Boltzenmart,227072,1972-08-21 00:00:00,1972-08-21 00:00:00,1
 Bortscheller,227508,1971-01-30 00:00:00,1971-01-30 00:00:00,1
 Bosom,233478,1988-04-25 00:00:00,1988-04-25 00:00:00,1
 Brands,229473,1980-05-22 00:00:00,1980-05-22 00:00:00,1
 Britsch,224816,1977-08-04 00:00:00,1977-08-04 00:00:00,1
 Bruteleux,230223,1981-05-25 00:00:00,1981-05-25 00:00:00,1
 Bryukhanchikova,226977,1972-02-20 00:00:00,1972-02-20 00:00:00,1
 Buche,228053,1969-07-09 00:00:00,1969-08-28 00:00:00,3
 Buchheim,228010,1968-07-31 00:00:00,1969-02-27 00:00:00,2
 Buerkle,226227,1974-05-29 00:00:00,1974-05-29 00:00:00,1
 Buyukfirat,225715,1972-07-24 00:00:00,1973-07-23 00:00:00,2
 Callaghan,230830,1982-05-17 00:00:00,1982-05-17 00:00:00,1
 Cane,228541,1977-06-20 00:00:00,1977-06-20 00:00:00,1
 Castellano,228096,1969-09-08 00:00:00,1969-09-08 00:00:00,1
 Chitarin,227289,1969-09-22 00:00:00,1969-09-22 00:00:00,1
 Ciakirova,227679,1970-08-03 00:00:00,1970-08-03 00:00:00,1
 Cingan,231293,1983-09-19 00:00:00,1983-09-19 00:00:00,1
 Collins,226621,1973-05-05 00:00:00,1973-05-05 00:00:00,1
 Contarini,229451,1980-05-07 00:00:00,1980-05-07 00:00:00,1
 Cooper,229392,1980-03-31 00:00:00,1980-03-31 00:00:00,1
 Cornish,228118,1968-02-26 00:00:00,1968-02-26 00:00:00,1
 Cupers,229698,1980-11-10 00:00:00,1980-11-10 00:00:00,1
 Daksa,224815,1977-08-04 00:00:00,1977-08-04 00:00:00,1
 Davis,225800,1975-04-21 00:00:00,1975-04-21 00:00:00,1
 Dawson,230224,1981-05-25 00:00:00,1981-05-25 00:00:00,1
 De Groot,229700,1980-11-10 00:00:00,1980-11-10 00:00:00,1
 Deerbergen,230330,1981-12-09 00:00:00,1981-12-09 00:00:00,1
 Di Lettuso,231262,1983-03-07 00:00:00,1983-03-07 00:00:00,1
 Dieblin,229604,1980-07-19 00:00:00,1980-07-19 00:00:00,3
 Dimitriu,223543,1974-11-18 00:00:00,1974-11-18 00:00:00,1
 Dnebergen,231278,1983-07-11 00:00:00,1983-07-11 00:00:00,1
 Doniger,231648,1984-01-30 00:00:00,1984-01-30 00:00:00,1
 Doriano,231663,1984-07-16 00:00:00,1984-07-30 00:00:00,3
 Druen,224306,1978-01-31 00:00:00,1981-12-09 00:00:00,7
 Dupree,230327,1981-10-19 00:00:00,1981-10-19 00:00:00,1
