player_name,player_id_agg,min_tourn_date,max_tourn_date,total_matches,player_id,repeat_flag
 Arnold,"['225361', '229471']",1976-06-21 00:00:00,1980-05-22 00:00:00,2,225361,True
 Harrison,"['224771', '229391']",1977-02-11 00:00:00,1980-03-31 00:00:00,3,224771,True
 Smith,"['229506', '229553']",1980-06-30 00:00:00,1980-07-07 00:00:00,2,229506,True
Adriana Sandoval,"['207450', '232501']",1986-07-21 00:00:00,2001-10-01 00:00:00,19,207450,True
Agustine Limanto,"['202047', '235523']",1991-08-19 00:00:00,2002-03-08 00:00:00,67,202047,True
Alanna Broderick,"['205195', '236214']",1993-11-08 00:00:00,2004-10-25 00:00:00,41,205195,True
Alexandra Damaschin,"['202595', '260269']",2005-08-29 00:00:00,2022-08-08 00:00:00,225,202595,True
Alexandra Guzman,"['206917', '235544']",1991-09-09 00:00:00,2001-04-26 00:00:00,35,206917,True
Aminat Balogun,"['205479', '235615']",1991-11-18 00:00:00,2007-02-26 00:00:00,6,205479,True
Amy Alcini,"['207753', '233566']",1988-07-25 00:00:00,2000-09-18 00:00:00,37,207753,True
Andrea Hernandez,"['209658', '236331']",1994-10-24 00:00:00,2007-05-07 00:00:00,9,209658,True
Ann Devries,"['200484', '236264']",1985-09-30 00:00:00,1995-11-13 00:00:00,217,200484,True
Astrid Cirotte,"['223401', '236980']",2020-09-07 00:00:00,2022-12-19 00:00:00,107,223401,True
Ayoola Shelle,"['208476', '233699']",1988-11-28 00:00:00,2003-10-27 00:00:00,13,208476,True
Bianca Swanepoel,"['209184', '259891']",2005-10-24 00:00:00,2022-04-04 00:00:00,19,209184,True
C Obrien,"['225798', '230302']",1975-04-14 00:00:00,1981-08-10 00:00:00,2,225798,True
Carla Jimenez,"['212448', '235583']",1991-09-30 00:00:00,1997-05-14 00:00:00,14,212448,True
Carmela Vitali,"['207346', '233649']",1988-10-24 00:00:00,2001-05-21 00:00:00,49,207346,True
Christine Hill,"['223775', '232471']",1971-07-13 00:00:00,1986-06-02 00:00:00,2,223775,True
Clara Udofa,"['206613', '235617']",1991-11-18 00:00:00,2003-08-18 00:00:00,46,206613,True
Csilla Dobo,"['207907', '235043']",1990-08-06 00:00:00,2002-05-06 00:00:00,31,207907,True
Eleni Fasoula,"['222942', '222943']",2019-11-11 00:00:00,2020-02-24 00:00:00,5,222942,True
Ellie Myers,"['222407', '240168']",2019-07-22 00:00:00,2022-07-18 00:00:00,4,222407,True
Eman Shahab,"['206942', '236233']",1993-12-13 00:00:00,1997-12-08 00:00:00,3,206942,True
Emilse Lujan Ruiz,"['222646', '236974']",2019-09-09 00:00:00,2022-10-10 00:00:00,6,222646,True
Emily Fisher,"['201221', '235398']",1968-07-01 00:00:00,1991-02-11 00:00:00,7,201221,True
Fitriani Sabatini,"['221189', '239429']",2018-07-16 00:00:00,2021-06-28 00:00:00,20,221189,True
Fleur Broughton,"['207516', '236225']",1993-11-29 00:00:00,1998-04-13 00:00:00,6,207516,True
Frances Giron,"['206990', '236141']",1993-08-30 00:00:00,1997-05-26 00:00:00,12,206990,True
Galina Dimitrova,"['204497', '235537']",1991-09-02 00:00:00,1997-10-06 00:00:00,94,204497,True
Hei Ching Claudia Ng,"['216586', '219835']",2016-10-10 00:00:00,2019-05-27 00:00:00,4,216586,True
Holly Fischer,"['221142', '222228']",2018-07-02 00:00:00,2019-06-17 00:00:00,2,221142,True
Irawati Moerid,"['208332', '234364']",1989-07-31 00:00:00,2003-05-05 00:00:00,92,208332,True
Isabella Ortiz,"['223880', '255642']",1969-03-11 00:00:00,2022-03-21 00:00:00,17,223880,True
J Matthews,"['225379', '226757']",1970-05-04 00:00:00,1976-10-25 00:00:00,12,225379,True
Jennifer Sabrina Moreno Rodriguez,"['223301', '259810']",2020-03-09 00:00:00,2022-05-09 00:00:00,6,223301,True
Johanne Christine Svendsen,"['241717', '260672']",2021-07-26 00:00:00,2022-11-07 00:00:00,39,241717,True
Karen Frawley,"['204003', '230238']",1981-07-07 00:00:00,1995-01-09 00:00:00,3,204003,True
Katerina Bohmova,"['200376', '223079']",1978-05-15 00:00:00,2011-06-06 00:00:00,473,200376,True
Katharina Kukaras,"['215178', '260936']",2015-05-11 00:00:00,2022-11-07 00:00:00,4,215178,True
Katina Estefania Zepeda Barrios,"['258530', '259720']",2021-12-13 00:00:00,2022-09-19 00:00:00,16,258530,True
Lana Scardigno,"['204717', '235115']",1990-11-05 00:00:00,1997-05-10 00:00:00,76,204717,True
Lara De Angelis,"['203887', '236401']",1983-08-30 00:00:00,1995-07-03 00:00:00,3,203887,True
Lara Onal,"['223215', '224486']",2020-02-24 00:00:00,2021-06-14 00:00:00,14,223215,True
Laura Bernard,"['210000', '231652']",1984-05-14 00:00:00,2010-07-05 00:00:00,8,210000,True
Laura Collins,"['209785', '223899']",1969-01-01 00:00:00,2009-10-19 00:00:00,3,209785,True
